施設名,年間処理量(t/年度),処理能力(t/日),焼却灰処理設備,飛灰処理設備,灰分,竣工年,住所,電話番号,緯度,経度
南越清掃組合第一清掃センター,15985,150,ナシ,薬剤処理,6%,1984,越前市北府1-3-20,0778-22-2636,35.82310797,136.20479545
南越清掃組合第２清掃センター,5064,30,ナシ,薬剤処理,5%,1997,越前市勾東原町86-28,0778-28-1370,35.87194971,136.08159123
高浜町清掃センター,4744,30,ナシ,薬剤処理,7%,1989,大飯郡高浜町水明1,0770-72-2087,35.49286360,135.59702045
小浜市クリーンセンター,11450,56,ナシ,薬剤処理,6%,2000,小浜市谷田部63-5,0770-53-5550,35.47850251,135.73624562
福井市クリーンセンター,69192,345,ナシ,セメント固化,6%,1991,福井市寮町50-41,0776-53-8999,36.06058255,136.28427216
敦賀市清掃センター,19317,100,ナシ,セメント固化,6%,1992,敦賀市櫛川88-1-2,0770-21-1153,35.65966470,136.03894019
福井坂井地区広域市町村圏事務組合清掃センター,47012,222,ナシ,薬剤処理,12%,1995,あわら市笹岡33-3-1,0776-74-1314,36.21105539,136.26413815
大飯清掃センター,2112,14,ナシ,薬剤処理,4%,1994,大飯郡おおい町本郷46-13,0770-77-2100,35.46825062,135.62614341
鯖江クリーンセンター,26402,120,ナシ,セメント固化,42%,1986,鯖江市西番町15-11,0778-51-2310,35.99023481,136.15884472
大野・勝山地区広域行政事務組合ごみ処理施設,18085,84,ナシ,薬剤処理,51%,2006,大野市南新在家28-1,0779-66-6690,36.01457442,136.51350588
美浜・三方環境衛生組合ガス化溶融施設,5614,22,ナシ,薬剤処理,52%,2003,三方上中郡若狭町向笠128-13-1,0770-45-1215,35.55383429,135.89392966